question,A,B,C,D,correct_answer
Sickle cell anemia is a _________?,A. Genetic disorder,B. virus disease,C. bacterial disease,D. diseases due to vitamin deficiency,A
The most suitable thermometer for measuring boiling point of water is ?,A. Mercury Thermometer,B. Liquid crystal thermometer,C. Bimetallic thermometer,D. Alcohol thermometer,A
In how many days pluto revolves around the sun _____?,A. 88 years,B. 248 years,C. 12 years,D. 84 years,B
Steam Turbine was introduce by ________ ?,A. C.A. Parson,B. Orwill Right,C. Arkwright,D. Alexander son,A
Hepatitis A is transmitted to various individuals by ?,A. Sneezing,B. Faeces,C. Spit,D. Water,D
For about how many hours food remains in small intestine?,A. 2 to 6 hours,B. 12 to 25 hours,C. 7 to 11 hours,D. 24 to 48 hours,A
One mega ohm resistance is equal to ______?,A. 106 ohm,B. 108 ohm,C. 107 ohm,D. 10-6 ohm,A
Myopia is a human eye disorder That can be corrected by using the lens ?,A. Convex,B. Concave,C. Cylindrical,D. Medicine,B
The chemical name of bauxite _______ ?,A. Aluminium Oxide,B. Aluminium Chloride,C. Aluminium Sulphite,D. None of the above,A
Which of the following constituents of pollutant exhaust in hazardous to man?,A. Carbon monoxide,B. Carbon dioxide,C. Lease particles,D. Carbon particles,A
The material that comes out of a volcano at the time of eruption is:,"A. Solid, liquid, gaseous",B. Solid and liquid,C. Solid and gaseous,D. None of these,A
Earthquakes are caused by:,A. Landslide,B. Eruption of volcanoes,C. Tectonic plates,D. All of these,D
An important ore of chromium is ?,A. Argon,B. Chromite,C. Mirage,D. Diamond,B
Mouna Loa is an example of?,A. Active volcano,B. Extinct volcano,C. Plateau in volcanic region,D. None of these,A
Which metal known as quick silver ?,A. Mercury,B. Sulphuric acid,C. Chromite,D. Quartz,A
In what year did Galileo first use an optical telescope to study the moon?,A. 1492,B. 1609,C. 1212,D. 1743,B
Energy possessed by water in a dam is ?,A. Electrical energy,B. Mechanical energy,C. Kinetic energy,D. Potential energy,D
Charge carriers in a metal are electrons rather than protons because electrons are?,A. Smaller,B. Negative,C. Loosely bound,D. All of the above,C
Dioptre is used to measure ?,A. Lens refractive power,B. Luminous intensity,C. Power,D. Distance of heavenly bodies,A
Which one of the following is a bio molecule?,A. Formic Acid,B. Tartic Acid,C. Glutamic Acid,D. Glutaric Acid,C
Cancer can be treated by ?,A. Antibiotics & vaccines,B. Radiotherapy & antibiotics,C. Chemotherapy & radiotherapy,D. Antibiotics & Chemotherapy,C
Photography works by?,A. Capturing the souls of the objects being photographed,B. Capturing light reflected from the objects being photographed,C. Both A & B,D. None of these,B
A body can escape the gravitational pull of the earth if it is thrown up with a velocity of ________ miles/second ?,A. 35,B. 25,C. 12,D. 07,D
Communication satellites are in which orbit?,A. Geosynchronous,B. Semi synchronous,C. Geostationary,D. None of these,C
Development of calf muscles in ladies who wear high heel sandals is common example of ?,A. Natural selection,B. Artificial selection,C. Use & disuse of organ,D. Inheritance of acquired character,B
Which of the following is not a region of the spinal cord ?,A. Thoracic,B. Lumber,C. Pelvic,D. All are lying in spinal cord region,C
Female Ova are ___________?,A. Haploid,B. Diploid,C. Triploid,D. None of these,A
The unit to measure the quantity of Ozone in atmosphere is ?,A. Dobson,B. Cloning,C. Dalton,D. Colomb,A
In human the Y chromosome is passed to next generation from?,A. Father to son,B. Mother to son,C. Father to daughter,D. Mother to daughter,A
"Anti Diuretic hormone (ADH) also known as Vasopressin, Arginine Vasopressin and agripressin. Is secreted by_________ ?",A. Pituitary,B. Pancreas,C. Thyroid,D. Parathyroid,A
Oil rises in a wick of oil lamp on account of a property of matter is called?,A. Angle of projection,B. Determines,C. Capillary action,D. Refraction of light,C
Enzymes are organic catalysts made up of ?,A. Carbohydrates,B. Proteins,C. Nucleic Acid,D. Fats,B
Another name for our voice box is _________?,A. Larynx,B. Pharynx,C. Trachea,D. Mouth,A
Fruit plant that flowers only once in lifetime?,A. Mango,B. Ground Nut,C. Banana,D. Peach,C
What makes a lemon sour?,A. Tartaric Acid,B. Citric Acid,C. Acetic Acid,D. Hydrochloric Acid,B
Which of the following is a non-conventional source of energy:,A. Coal,B. Biogas,C. Algae,D. None of these,B
The process by which kidney stones are crushed with shock waves is called?,A. Laparoscopy,B. Dementia,C. Lithotripsy,D. None of these,C
Vegetable crop with rectangular seed is?,A. Carrot,B. Onion,C. Turnip,D. Cucumber,B
The chief ingredient of the mosquito repellent cream is derived from?,A. Lemon,B. Neem tree,C. Rice bran,D. Tulsi,B
"In the medical system of treatment to relieve pains, called Acupuncture?",A. Drugs are used,B. Herbs are used,C. Electric shocks are applied,D. Fine needles are pricked in the body,D
EEG is used for diagnosing ailments connected with?,A. Heart,B. Brain,C. Kidneys,D. Lungs,B
A healthy man consumes maximum calories while playing?,A. Cricket,B. Golf,C. Billiards,D. Football,D
Which of following contains cobalt?,A. Vitamin K,B. Chlorophyll,C. Vitamin B12,D. Haemoglobin,C
Sodium Carbonate is commonly called ________?,A. Plaster of Paris,B. Washing Soda,C. Common Salt,D. None of these,B
Dyne is a unit of _______?,A. Quantity,B. Force,C. Pressure,D. Depth,B
The most abundant element in human body is __________?,A. Hydrogen,B. Blood,C. Oxygen,D. Protein,C
"“Plague” is a disease, spread by?",A. Cow,B. Cat,C. Rat,D. Dog,C
Kidney disease happens due to overdose of?,A. Vitamin A,B. Vitamin B,C. Vitamin C,D. Proteins,C
Atmospheric pressure at sea level is _______?,A. 746 mm,B. 760 mm,C. 820 mm,D. None of these,B
A colour blind person cannot distinguish between _________?,A. White & Yellow,B. Red & Green,C. Red & Black,D. Green & Black,B
Study of joints called:,A. Esthesiology,B. Splanchnology,C. Arthrology,D. Anthropology,C
The gas heater gives us heat by __________?,A. Radiation,B. Conduction,C. Convection,D. Environmental pressure,C
Who discovered the law of attraction and repulsion in electric charges?,A. Newton,B. Gullelio,C. Coulumb,D. Einstein,C
"For burning, which agent is necessary?",A. Oxygen,B. Hydrogen,C. Carbon,D. Fire,A
Which element is called earth maker?,A. Oxygen,B. Silicon,C. Carbon,D. Hydrogen,B
Earth revolves around the sun from?,A. East to West,B. West to East,C. South to North,D. North to South,B
Retinol is the chemical name of?,A. Vitamin A,B. Vitamin B,C. Vitamin C,D. Vitamin K,A
Virus was discovered by?,A. Dmitry Ivanovsky,B. Robert hook,C. Antony,D. Brown,A
Dielectric constant of water is?,A. 60,B. 70,C. 80,D. None of these,C
Mass spectrograph was Invented by?,A. Rutherford,B. Chadwik,C. F.W.Aston,D. None of these,C
Which blood cells are called ‘Soldiers’ of the body ?,A. WBC,B. Platelets,C. RBC,D. All of the above,A
Cooking gas is mixture of which two gases?,A. Hydrogen and oxygen,B. Methane and CO2,C. Methane and oxygen,D. None of these,C
Substance used in match sticks ?,A. Sulphur,B. Zinc,C. Acid,D. Phosphorus,D
"With the rise in temperature, metals conductivity____________?",A. Remains same,B. Increases,C. Decreases,D. None of these,C
Speed of sound in water at 20 °C is___________?,A. 1450 m/s,B.1474 m/s,C. 1498 m/s,D. 1500+ m/s,B
"In thrombocytopenia condition, bone marrow makes?",A. Too few platelets,B. Normal platelets,C. Too many platelets,D. Does not effect,A
"In Essential thrombocythemia (ET) condition, bone marrow makes?",A. Too few platelets,B. Normal platelets,C. Too many platelets,D. Does not effect,C
A normal platelets count range ?,A. 1.5 lac  – 4.5 lac platelets per liter blood.,B. 1.5 lac – 4.5 lac platelets per micro-liter of blood.,C. 1.5 million  – 4.5 million platelets per liter of blood.,D.  1.5 million  – 4.5 million platelets per micro-liter of blood.,B
Which group of compounds constitute carbohydrates?,A. Sugar and proteins,B. Starch and proteins,C. Starch and sugar,D. None of these,C
Which of the following planets rotate from east to west on its exis?,"A. Jupiter, Mars","B. Mercury, Saturn","C. Venus, Uranus","D. Neptune, Earth",C
Characteristic odour of garlic is due to?,A. A fluorine compoune,B. A sulphur compound,C. A chlorine compound,D. None of these,B
Which has highest fuel value?,A. Charcoal,B. Gasoline,C. Hydrogen,D. None of these,C
Which Harmone contain iodine?,A. Thyroxine,B. Insulin,C. Adrenaline.,D. None of these,A
Ozone layer thickness is measured in____________?,A. Metre,B. Joule,C. Pounds,D. Dobson,D
Gland responsible for heightened emotions is?,A. Pituitary gland,B. Thoiroid gland,C. Adrenal gland,D. None of these,C
"If the green leaves are placed under red light, their color will become________?",A. Green,B. Black,C. Red,D. Blue,B
Max plank is famous for his discovery of?,A. Energy quanta,B. photon,C. both of these,D. None of these,A
Unit of surface tension in cgs system is?,A. Pascal,B. N/m,C. Dyn/cm,D. None of these,C
Homologous means?,A. Same Chemical Properties,B. Same Chemical Numbers,C. Different Chemical Properties,D. Different Chemical Numbers,A
Unit of specific gravity is?,A. Pascal,B. No unit,C. Mass/volume,D. None of these,B
Which of the following is a transition element?,A. Cl,B. Cu,C. S,D. None of these,B
Melting Point of Tungsten is?,A. 1000 C,B. 2000 C,C. 3000 C,D. 4000 C,C
Sea water (Salt water) freezes at ?,A. Same temperature as fresh water.,B. Slightly higher temperatures than fresh water.,C. Slightly higher temperature than fresh water.,D. Sea water does not freeze,C
Which of the following is cold current ?,A. Gulf Stream,B. Brazil,C. Benguela,D. Kuroshio,C
Who gave the idea of law of inertia?,A. Dalton,B. Galileo Galilei,C. Bacon,D. Einstein,B
The term ‘Geography’ was coined first time by a Greek scholar _________ in 234BC?,A. Herodotus,B. Thales of Miletus,C. Eratosthenes,D. Plato,C
There are ______ themes in geography.,A. Three,B. Four,C. Five,D. Seven,C
The earth surface & crust constantly evolving due to ?,A. Rotary cycle,B. Normal cycle,C. Rock cycle,D. Change cycle,C
Calcaneus bone in which part of human body?,A. Heel,B. Hand,C. Arm,D. Skull,A
Which type of climates of world has dry summer & wet winter ?,A. Western European type,B. Mediterranean type,C. Equatorial type,D. Tundra type,B
Tarsal bone is in the?,A. Hand,B. Arm,C. Leg,D. Foot,D
Sedimentary rocks are formed by natural process known as ?,A. Lithification,B. Rejuvenation,C. Hydration,D. Peroxidation,A
Which of the following is a positively charged particle emitted by a radioactive element?,A. Beta Rays,B. Alpha Rays,C. Gamma Rays,D. None of these,B
BRT stand for ?,A. Blue rapid Transport,B. Best road transportation,C. Bus Rapid Transit,D. Best road Transit,C
Atmospheric pressure decrease rapidly with altitude because the air becomes_______ ?,A. Colder,B. Less denser,C. Rich in Ozone,D. Warmer,B
Skin has ___________ layers?,A. One,B. Two,C. Three,D. Four,C
The red blood cells originate in the ____________?,A. Brain,B. Muscles,C. Ligaments,D. Bone Marrow,D
"The fastest bird is the Peregrine Falcon, clocked  at speeds of up to _____ miles per hour?",A. 240,B. 250,C. 260,D. 230,A
DNA is _____________?,A. Acetic Acid,B. A class of nucleic acids,C. Citric Acid,D. None of these,B
Who discovered the blood group of man?,A. Edward Jenner,B. Laren,C. Karl Landsteiner,D. William Harvey,C
Which among the following lens is used to correct Presbyopia?,A. Convex,B. Concave,C. Bifocal,D. Cylindrical,C
"All of the following foods lack vitamin C, except",A. Cheese,B. Milk,C. Rice,D. None of these,B
Most gases conduct electricity at:,A. Normal pressure,B. Very low pressure,C. Very high pressure,D. None of these,B
Which chamber of human heart pumps fully oxygenated blood to aorta and hence to the body:,A. Right Auricle,B. Left Auricle,C. Right Ventricle,D. Left Ventricle,D
Which product is obtained in the manufacture of soap from oils:,A. Sodium chloride,B. Sodium hydroxide,C. Fats,D. Glycerine,D
In bacteria mesosomes take the place of which one of the following?,A. Ribosome,B. Mitochondria,C. Golgi bodies,D. None of these,B
When did Amnesty International won the Noble Prize:,A. 1917,B. 1967,C. 1977,D. 1987,C
The brightest colour emitted by the sun is:,A. Violet,B. Yellow-Green,C. Green- Blue,D. Red,B
The chemical used as a fixer in photography is__________?,A. Sodium sulphate,B. Borax,C. Sodium thiosulphate,D. Ammonium sulphate,C
A blood alcohol level above ________ will often result in death:,A. 0.10,B. 0.20,C. 0.30,D. 0.41,D
Chromosomes first become visible during which phases of mitosis:,A. Prometaphase,B. Telophase,C. Prophase,D. Metaphase,C
Refraction of sound can occur in:,A. Water,B. Air,C. Both A & B,D. None of these,C
The frequency of a turning fork determined by a:,A. Magnetic tape,B. Modulator,C. Sonometer,D. Reed instrument,C
The group of minerals chemically containing hydrocarbons is_______?,A. Silicate group,B. Organic group,C. Oxide group,D. Hydride group,B
The subatomic particles arriving from outer space having high energy are called?,A. Protons,B. Electrons,C. Cosmic rays,D. None of the above,C
A definite area or a space where some thermodynamic process takes place is known as?,A. Thermodynamic system,B. Thermodynamic cycle,C. Thermodynamic process,D. Thermodynamic law,A
A moving object always possesses?,A. Potential Energy,B. Kinetic Energy,C. Thermal energy,D. Magnetic energy,B
Study of culture is called?,A. Odology,B. Anthropology,C. Ornithology,D. Psychology,B
A disease always has a______?,A. Cure,B. Germs,C. Cause,D. Patient,C
The time in which Earth completes its revolution around the Sun is________?,A. 365.25 days,B. 340 days,C. 325 days,D. 360 days,A
An Average Hummingbird’s heart rate per minute is __________.,A. 500 times,B. 1000 times,C. more than 1000 times,D. more than 1200 times,D
What do we call when the sound of frequency will be below 20 Hz?,A. Audio sounds,B. Infrasonic,C. Ultrasonic,D. Supersonics,B
All of the following foods contain carbohydrates except.,A. Rice,B. Meat,C. Potato,D. Milk,B
Symptoms of vitamin b7 deficiency are known to ______________.,A. Pellagra,B. Hair Loss,C. Muscle weakness,D. Xerophthalmia,B
Smallpox was eradicated in 1970s. What was the ‘great pox’ which remains active?,A. Bubonic plague,B. Syphilis,C. Measles,D. None,B
Which one of the following is not a true snake________ ?,A. Blink snake,B. Glass snake,C. Sea snake,D. Tree snake,B
How many noses does an ant have?,A. One,B. Two,C. Three,D. None,D
Which of the following is called as Blue planet?,A. Mercury,B. Earth,C. Venus,D. Neptune,B
Deforestation will decrease?,A. Soil erosion,B. Rainfall,C. Landslides,D. Soil fertility,B
How many bones are present in face?,A. 14,B. 15,C. 20,D. 18,A
The movement of earth around sun brings ________?,A. Tornadoes,B. Rainfall,C. Seasons,D. Earthquakes,C
