question,A,B,C,D,correct_answer
If the price has fallen by 10% what percent of its consumption be: increased so that the expenditure may be the same as before?,A. 11%,B. 10%,C. 11 1/9 %,D. 9 1/11 %,C
96% of the population of a village is 23040. The total population of the village is________?,A. 32256,B. 24000,C. 24936,D. 25640,B
"40 is subtracted from 60% of a number, the result is 50. Find the number?",A. 150,B. 140,C. 130,D. 110,A
"85% of a number is added to 24, the result is the same number. Find the number?",A. 150,B. 140,C. 130,D. 160,D
"60% of a number is added to 120, the result is the same number. Find the number?",A. 300,B. 200,C. 400,D. 500,A
25% of 30% of 45% is equal to__________?,A. 0.03375,B. 0.3375,C. 3.375,D. 33.75,A
40% of a number is more than 20% of 650 by 190. Find the number?,A. 600,B. 700,C. 800,D. 900,C
How much is 80% of 40 is greater than 4/5 of 25?,A. 4,B. 6,C. 9,D. 12,D
How much 60% of 50 is greater than 40% of 30?,A. 18,B. 13,C. 15,D. 20,A
After decreasing 24% in the price of an article costs Rs.912. Find the actual cost of an article?,A. 1400,B. 1300,C. 1200,D. 1100,C
"If y exceeds x by 20%, then x is less than y by_______?",A. 16%,B. 16 1/3 %,C. 16 2/3 %,D. 16 3/5 %,C
What percent of 120 are 90?,A. 25%,B. 50%,C. 75%,D. 33%,C
"Today is khadija’s birthday. After one year, she will become two times as she was ten years ago. current age of Khadija?",A. 19,B. 20,C. 21,D. 22,C
"In what ratio should the profit be divided if M, N, O invests capital in ratio 2:3:5 and their timing of their investments are in the ratio 4:5:6.",A. 8:15:30,B. 5:18:28,C. 4:5:6,D. 2:3:5,A
"A bag contains 50 paise, 1 rupee and 2 rupee coins in the ratio 2:5:8. If the total amount is Rs. 352, find the total number of coins in the bag.",A. 160,B. 200,C. 250,D. 240,D
"Three quantities X, Y and Z are such that XY=kZ where k is constant. Initially, X was at 4 and X:Y:Z was 2:3:4. If the value of Y is changed to 12 and Z is kept constant, find the value of X.",A. 2,B. 3,C. 5,D. 6,A
Find the mean proportion between 5 and 45.,A. 9,B. 15,C. 25,D. 50,B
"If X:Y = 2:3, Y:Z = 4:5. Find X:Y:Z.",A. 2:3:5,B. 8:12:15,C. 2:8:5,D. 2:7:5,B
"The ratio of two numbers a and b is 3:5. If 2 is added to both the numbers, the ratio becomes 2:3. Find b.",A. 15,B. 10,C. 8,D. 5,B
"The plan for a rectangular area is drawn to a scale of 1:500. If the length and breadth in the plan is 30 cm and 20 cm, find the actual area.",A. 1200 m²,B. 1500 m²,C. 12000 m²,D. 15000 m²,D
The length and breadth of a rectangle are in the ratio 5:4. Find its perimeter if its area is 180 cm²,A. 54 cm,B. 27 cm,C. 12 cm,D. 15 cm,A
"In what ratio should the profit of Rs.8000 be divided if X starts a business with an investment of Rs. 20000, Y invests Rs.7500 for 4 months and Z invests Rs.15000 after 3 months from the start of the business.",A. 16 : 2 : 3,B. 8 : 3 : 6,C. 16 : 2 : 9,D. 6 : 9 : 1,C
"M:N = 3:4, N:O = 5:7 and O:P = 7:9. Then M:P =________?",A. 1/3,B. 7/9,C. 5/12,D. None of these,C
"The perimeter of a triangle is 81 cm. If the sides are in the ratio 4:3:2, find the length of the largest side.",A. 45 cm,B. 40 cm,C. 36 cm,D. 27 cm,C
The ratio of boys and girls in a class was 11:13. 8 girls and 4 boys join the class from this academic year and the ratio becomes 4:5. Find the strength of the class.,A. 96,B. 68,C. 72,D. 108,D
"A class has 90 students. If the ratio of boys and girls is 7:8, find the number of boys in the class.",A. 48,B. 42,C. 60,D. 70,B
"In a partnership for a business, Changaz invests Rs.6000 for complete year & Nasir invests Rs.3000 for 6 months. What is Nasir’s share if they earn Rs.240 as profit?",A. 120,B. 80,C. 192,D. 48,D
"If x% of 200=y% of 250, find y:x.",A. 5:4,B. 5:2,C. 2:5,D. 4:5,D
"A bag contains 1 rupee, 2 rupee and 5 rupee coins amounting to Rs.264. If the ratio of the number of these coins is 3:5:4, find the number of 1 rupee coins.",A. 66,B. 48,C. 24,D. 8,C
Divide Rs.2000 into two shares in the ratio 3:2.,"A. Rs.1200,Rs.800","B. Rs.800,Rs.1200","C. Rs.1500,Rs.500","D. Rs.1100, Rs.900",A
"The ratio of two numbers is 5:9. If each number is decreased by 5, the ratio becomes 5:11. Find the numbers.","A. 30, 19","B. 21, 37","C. 15, 34","D. 15, 27",D
"The third proportional to 3.5, 5.6 is:___________?",A. 8.96,B. 8,C. 4.5,D. 6.2,A
"According to a recipe, 400 grams of flour should be mixed with 500 grams of sugar to bake cookies. If I have only 300 grams of flour, how much sugar should I mix to maintain the same proportion?",A. 360,B. 380,C. 375,D. 400,C
"X, Y and Z are quantities of the same kind such that X:Y=5:8 and Y:Z=4:7. Find X:Z.",A. 32:35,B. 67:56,C. 5:14,D. 5:7,C
"Two kinds of rice, 1st costs Rs.13 per kg and 2nd costs Rs.19 per kg are mixed together. Find the ratio in which the 2 types are mixed so that the mixture costs Rs.14.2 per kg?",A. 3:1,B. 4:1,C. 3:4,D. 4:3,B
"A, B, C and D divide a sum of money among themselves in the ratio 7:4:3:2. If D gets Rs. 500 less than A, find the total amount.",A. Rs.100,B. Rs.700,C. Rs.1600,D. Rs.2000,C
x is 20% more than z and y is 80% more than z. Find x:y.,A. 1:4,B. 3:4,C. 1:3,D. 2:3,D
Solve for x2x:25 = 6:(x/3),A. 18,B. 15,C. 12,D. 5,B
Two natural numbers whose sum is 72 cannot be in the ratio:,A. 1:2,B. 3:5,C. 1:3,D. 3:4,D
"A journey of 750 km was covered partly by car(x km) and partly by train(y km). If the distance travelled by train was 150 km more than the distance travelled by car, find x:y.",A. 2:3,B. 3:2,C. 3:4,D. 4:3,A
p is 50% more than q. Find the ratio of p to q.,A. 3:2,B. 1:2,C. 1:5,D. 2:1,A
"The sum of squares of three numbers is 280. If the numbers are in the ratio 3:5:6, find the greatest number.",A. 8,B. 6,C. 12,D. 18,C
"If a flat costs Rs.4500 per sq. ft, and a commercial space costs Rs.9500 per sq. ft, then what is the ratio of their areas if the total cost of both are the same?",A. 9:19,B. 19:9,C. 15:28,D. 28:15,B
The sum of three numbers is 172. The ratio of the first and second numbers is 8:11. The ratio of the second and third is 5:7. Find the second number.,A. 44,B. 55,C. 66,D. 77,B
"4 singers, 5 dancers and 3 comperes divide an amount of Rs.130000 among themselves such that 3 comperes get as much as 2 dancers and 3 dancers get as much as 2 singers. Find the amount received by a singer.",A. Rs.18000,B. Rs.13000,C. Rs.15000,D. Rs.10000,C
"The sum of cubes of two numbers is 280. If the numbers are in the ratio 2:3, find the smallest number.",A. 4,B. 6,C. 3,D. 2,A
"Find the value of x when y = 5, if x varies directly as 4y-1 and x = 14 when y = 2.",A. 38,B. 35,C. 10,D. 28,A
The number of seats available for Biology and Computer Science in a school is in the ratio 5:8. They are to be increased by 30% and 25% . Find the new ratio.,A. 6:10,B. 13:20,C. 3:4,D. 35:33,B
"A:B=2:3, B:C=3:4, A:D=4:5. Find C:D.",A. 2:5,B. 4:5,C. 6:5,D. 8:5,D
"Find the fourth proportion to 3, 7 and 9.",A. 63,B. 31,C. 21,D. 27,C
"If 40% of a number is equal to two-third of another number, what is the ratio of first number to the second number ?",A. 2 : 5,B. 3 : 7,C. 5 : 3,D. 7 : 3,C
"Seats for Mathematics, Physics and Biology in a school are in the ratio 5 : 7 : 8. There is a proposal to increase these seats by 40%, 50% and 75% respectively. What will be the ratio of increased seats ?",A. 2 : 3 : 4,B. 6 : 7 : 8,C. 6 : 8 : 9,D. None of these,A
"In a bag, there are coins of 25 p, 10 p and 5 p in the ratio of 1 : 2 : 3. If there is Rs. 30 in all, how many 5 p coins are there?",A. 50,B. 100,C. 150,D. 200,C
"Two numbers are in the ratio 3 : 5. If 9 is subtracted from each, the new numbers are in the ratio 12 : 23. The smaller number is :________?",A. 27,B. 33,C. 49,D. 55,C
Two numbers are respectively 20% and 50% more than a third number. The ratio of the two numbers is :__________?,A. 2 : 5,B. 3 : 5,C. 4 : 5,D. 6 : 7,C
"A surn of money is to be distributed among A, B, C, D in the proportion of 5 : 2 : 4 : 3. If C gets Rs. 1000 more than D, what is B’s share ?",A. Rs. 500,B. Rs. 1500,C. Rs. 2000,D. None of these,C
"The ratio of the number of boys and girls in a college is 7 : 8. If the percentage iikcrease in the number of boys and girls be 20% and 10% respectively, what will be the new ratio ?",A. 8 : 9,B. 17 : 18,C. 21 : 22,D. Cannot be determined,C
"The sum of three numbers is 98. If the ratio of the first to the second is 2 : 3 and that of the second to the third is 5 : 8, then the second number is :__________?",A. 20,B. 30,C. 48,D. 58,B
"If the number obtained on interchanging the digits of a two-digit number is 18 more than the original number and the sum of the digits is 8, then what is the original number ?",A. 26,B. 35,C. 53,D. Cannot be determined,B
"A two-digit number is such that the product of the digits is 8. When 18 is added to the number, then the digits are reversed. The number is :_________?",A. 18,B. 24,C. 42,D. 81,B
Find the number which when multiplied by 15 is increased by 196.,A. 14,B. 20,C. 26,D. 28,A
"The sum of the squares of three numbers is 138, while the sum of their products taken two at a time is 131. Their sum is :___________?",A. 20,B. 30,C. 40,D. None of these,A
Three numbers are in the ratio of 3 : 4 : 6 and their product is 1944. The largest of these numbers is :___________?,A. 6,B. 12,C. 18,D. None of these,C
"If the sum of a number and its square is 182, what is the number ?",A. 15,B. 26,C. 28,D. 13,D
The sum of two numbers is 25 and their differenee is 13. Find their product :,A. 104,B. 114,C. 315,D. 325,B
"If the sum of two numbers is 33 and their difference is 15, the smaller number is :__________?",A. 9,B. 12,C. 15,D. 18,A
"A man goes to his office from his house at a speed of 3 km/hr and returns at a speed of 2 km/hr. If he takes 5 hours in going and coming, what is the distance between his house and office?",A. 3 km,B. 4 km,C. 5 km,D. 6 km,D
A man complete a journey in 10 hours. He travels first half of the journey at the rate of 21 km/hr and second half at the rate of 24 km/hr. Find the total journey in km.,A. 121 km,B. 242 km,C. 224 km,D. 112 km,C
"A man covers a distance of 20 km in 3.5 hours partly by running and partly by walking. If he walks at 4 kmph and runs at 10 kmph, find the distance he covers by walking.",A. 10 km,B. 8 km,C. 12 km,D. 9 km,A
Rayan crosses a 400m bridge in 3 minutes. What is speed?,A. 133.33 kmph,B. 1.33 kmph,C. 4 kmph,D. 8 kmph,D
"Two bikes start at the same time from two destination 300 km apart and travel towards each other. If they cross each other at a distance of 130 km from one of the destination, what is the ratio of their speeds?",A. 17:13,B. 17:30,C. 13:30,D. None of these,A
How much time does a train 125 metres long running at 60 km/hr take to pass a pole?,A. 6s,B. 2.08s,C. 7.5s,D. 8s,C
"Walking 6/7th of his usual speed, a man is 12 minutes too late. What is the usual time taken by him to cover that distance?",A. 1 hr 42 min,B. 1 hr,C. 2 hr,D. 1 hr 12 min,D
"Excluding stoppages, the speed of a bus is 54 kmph and including stoppages, it is 45 kmph. For how many minutes does the bus stop per hour?",A. 12,B. 11,C. 10,D. 9,C
There are 21 poles with a constant distance between each pole. A car takes 30 seconds to reach the 16th pole. How long does it take to reach the last pole?,A. 39 seconds,B. 40 seconds,C. 39.38 seconds,D. 39.5 seconds,B
A person walking at 5/6th of his usual speed is 40 minutes late to his office. What is his usual travel time to his office?,A. 3 hours 20 minutes,B. 3 hours 15 minutes,C. 3 hours 30 minutes,D. 3 hours,A
A Man travelled a distance of 61 km in 9 hours. He travelled partly on foot at 4 km/hr and partly on bicycle at 9 km/hr. What is the distance travelled on foot?,A. 12 km,B. 14 km,C. 16 km,D. 18 km,C
A person crosses a 600 m long street in 5 minutes. What is his speed in km per hour?,A. 8.2,B. 4.2,C. 6.1,D. 7.2,D
"Walking at 80% of his usual speed, a man is 10 mins late to his office. Find the usual time taken by hime to reach his office.",A. 20 minutes,B. 30 minutes,C. 40 minutes,D. 50 minutes,C
"At 10 a.m. two trains started traveling toward each other from stations 287 miles apart. They passed each other at 1:30 p.m. the same day. If the average speed of the faster train exceeded the average speed of the slower train by 6 miles per hour, which of the following represents the speed of the faster train, in miles per hour?",A. 38,B. 40,C. 44,D. 48,C
"Three towns X, Y, and Z are on a river which flows uniformly. Y is equidistant from X and Z. If a boats man rows from X to Y and back in 10 hours and X to Z in 4 hours, find the ratio of speed of the boats man in still water to the speed of the current.",A. 2:5,B. 5:3,C. 3:5,D. 1:2,B
A and B go cycling in the same direction with speeds of 6 km/hr and 12 km/hr. A car from behind passes them in 9 and 10 seconds respectively. What is the speed of the car?,A. 22 km/hr,B. 33 km/hr,C. 66 km/hr,D. 44 km/hr,C
A car travels first 160 km at 64 km/hr and the next 160 km at 80 km/hr. What is the average speed for the first 320 km of the tour?,A. 70.24 km/hr,B. 74. 24 km/hr,C. 71.11 km/hr,D. 72.21 km/hr,C
A man takes 5 hours 45 min in walking to a certain place and riding back. He would have gained 2 hours by riding both ways. The time he would take to walk both ways is_________?,A. 11 hrs,B. 8 hrs 45 min,C. 7 hrs 45 min,D. 9 hts 20 min,C
"In a journey of 24 miles, two thirds of the distance was travelled with a speed of 40 mph and the remaining with 60 mph. How much time did the journey take?",A. 14.4 minutes,B. 20 minutes,C. 28.8 minutes,D. 32 minutes,D
A man travels a distance of 2 km by walking at a speed of 6 km/hr. He returns back at a speed of 4 km/hr. What is his average speed?,A. 4.5 kmph,B. 4.8 kmph,C. 5 kmph,D. 5.1 kmph,B
